customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TenureGroup,AvgMonthlySpend,NumServices,HighRiskContract,AutoPayment,FiberOpticUser,FamilyCustomer,SeniorHighCharges,LongTermCustomer,ServiceValueScore
7590-VHVEG,Female,0,1,0,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,Electronic check,29.85,29.85,0,0-1 Year,29.85,1,1,0,0,1,0.0,0,0.03350083752093802
5575-GNVDE,Male,0,0,0,34,1,No,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,56.95,1889.5,0,2-4 Years,55.5735294117647,2,0,0,0,0,0.0,1,0.03511852502194908
3668-QPYBK,Male,0,0,0,2,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Mailed check,53.85,108.15,1,0-1 Year,54.075,2,1,0,0,0,0.0,0,0.03714020427112349
7795-CFOCW,Male,0,0,0,45,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,0,Bank transfer (automatic),42.3,1840.75,0,2-4 Years,40.90555555555556,3,0,1,0,0,0.0,1,0.07092198581560284
9237-HQITU,Female,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.7,151.65,1,0-1 Year,75.825,0,1,0,1,0,0.0,0,0.0
9305-CDSKC,Female,0,0,0,8,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.65,820.5,1,0-1 Year,102.5625,4,1,0,1,0,0.0,0,0.04014049172102358
1452-KIOVK,Male,0,0,1,22,1,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Credit card (automatic),89.1,1949.4,0,1-2 Years,88.60909090909091,3,1,1,1,1,0.0,0,0.03367003367003367
6713-OKOMC,Female,0,0,0,10,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Mailed check,29.75,301.9,0,0-1 Year,30.19,1,1,0,0,0,0.0,0,0.03361344537815126
7892-POOKP,Female,0,1,0,28,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,104.8,3046.05,1,2-4 Years,108.7875,5,1,0,1,1,0.0,1,0.04770992366412214
6388-TABGU,Male,0,0,1,62,1,No,DSL,Yes,Yes,No,No,No,No,One year,0,Bank transfer (automatic),56.15,3487.95,0,4-6 Years,56.25725806451613,2,0,1,0,1,0.0,1,0.03561887800534283
9763-GRSKD,Male,0,1,1,13,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Mailed check,49.95,587.45,0,1-2 Years,45.18846153846154,1,1,0,0,1,0.0,0,0.02002002002002002
7469-LKBCI,Male,0,0,0,16,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),18.95,326.8,0,1-2 Years,20.425,0,0,1,0,0,0.0,0,0.0
8091-TTVAX,Male,0,1,0,58,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,0,Credit card (automatic),100.35,5681.1,0,4-6 Years,97.95,4,0,1,1,1,0.0,1,0.039860488290981565
0280-XJGEX,Male,0,0,0,49,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),103.7,5036.3,1,4-6 Years,102.78163265306122,5,1,1,1,0,0.0,1,0.048216007714561235
5129-JLPIS,Male,0,0,0,25,1,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,105.5,2686.05,0,2-4 Years,107.442,5,1,0,1,0,0.0,1,0.04739336492890995
3655-SNQYZ,Female,0,1,1,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Credit card (automatic),113.25,7895.15,0,4-6 Years,114.42246376811592,7,0,1,1,1,0.0,1,0.06181015452538632
8191-XWSZG,Female,0,0,0,52,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.65,1022.95,0,4-6 Years,19.672115384615385,0,0,0,0,0,0.0,1,0.0
9959-WOFKT,Male,0,0,1,71,1,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,0,Bank transfer (automatic),106.7,7382.25,0,4-6 Years,103.97535211267606,5,0,1,1,1,0.0,1,0.046860356138706656
4190-MFLUW,Female,0,1,1,10,1,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,0,Credit card (automatic),55.2,528.35,1,0-1 Year,52.835,2,1,1,0,1,0.0,0,0.036231884057971016
4183-MYFRB,Female,0,0,0,21,1,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,1,Electronic check,90.05,1862.9,0,1-2 Years,88.70952380952382,3,1,0,1,0,0.0,0,0.03331482509716824
8779-QRDMV,Male,1,0,0,1,0,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Electronic check,39.65,39.65,1,0-1 Year,39.65,2,1,0,0,0,39.65,0,0.05044136191677175
1680-VDCWW,Male,0,1,0,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),19.8,202.25,0,0-1 Year,16.854166666666668,0,0,1,0,1,0.0,0,0.0
1066-JKSGK,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.15,20.15,1,0-1 Year,20.15,0,1,0,0,0,0.0,0,0.0
3638-WEABW,Female,0,1,0,58,1,Yes,DSL,No,Yes,No,Yes,No,No,Two year,1,Credit card (automatic),59.9,3505.1,0,4-6 Years,60.43275862068965,3,0,1,0,1,0.0,1,0.05008347245409015
6322-HRPFA,Male,0,1,1,49,1,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,0,Credit card (automatic),59.6,2970.3,0,4-6 Years,60.61836734693878,3,1,1,0,1,0.0,1,0.050335570469798654
6865-JZNKO,Female,0,0,0,30,1,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Bank transfer (automatic),55.3,1530.6,0,2-4 Years,51.02,2,1,1,0,0,0.0,1,0.03616636528028933
6467-CHFZW,Male,0,1,1,47,1,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,99.35,4749.15,1,2-4 Years,101.04574468085106,4,1,0,1,1,0.0,1,0.04026170105686965
8665-UTDHZ,Male,0,1,1,1,0,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,0,Electronic check,30.2,30.2,1,0-1 Year,30.2,1,1,0,0,1,0.0,0,0.033112582781456956
5248-YGIJN,Male,0,1,0,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),90.25,6369.45,0,4-6 Years,88.46458333333334,7,0,1,0,1,0.0,1,0.07756232686980609
8773-HHUOZ,Female,0,0,1,17,1,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Mailed check,64.7,1093.1,1,1-2 Years,64.3,2,1,0,0,1,0.0,0,0.030911901081916538
3841-NFECX,Female,1,1,0,71,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,1,Credit card (automatic),96.35,6766.95,0,4-6 Years,95.30915492957746,5,0,1,1,1,96.35,1,0.05189413596263623
4929-XIHVW,Male,1,1,0,2,1,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),95.5,181.65,0,0-1 Year,90.825,3,1,1,1,1,95.5,0,0.031413612565445025
6827-IEAUQ,Female,0,1,1,27,1,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,0,Mailed check,66.15,1874.45,0,2-4 Years,69.42407407407407,4,0,0,0,1,0.0,1,0.06046863189720332
7310-EGVHZ,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),20.2,20.2,0,0-1 Year,20.2,0,1,1,0,0,0.0,0,0.0
3413-BMNZE,Male,1,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),45.25,45.25,0,0-1 Year,45.25,0,1,1,0,0,45.25,0,0.0
6234-RAAPL,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,0,Bank transfer (automatic),99.9,7251.7,0,4-6 Years,100.71805555555557,5,0,1,1,1,0.0,1,0.050050050050050046
6047-YHPVI,Male,0,0,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,69.7,316.9,1,0-1 Year,63.38,0,1,0,1,0,0.0,0,0.0
6572-ADKRS,Female,0,0,0,46,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Credit card (automatic),74.8,3548.3,0,2-4 Years,77.13695652173914,1,1,1,1,0,0.0,1,0.013368983957219251
5380-WJKOV,Male,0,0,0,34,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,106.35,3549.25,1,2-4 Years,104.38970588235294,5,1,0,1,0,0.0,1,0.047014574518100614
8168-UQWWF,Female,0,0,0,11,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Bank transfer (automatic),97.85,1105.4,1,0-1 Year,100.4909090909091,4,1,1,1,0,0.0,0,0.040878896269800714
8865-TNMNX,Male,0,1,1,10,1,No,DSL,No,Yes,No,No,No,No,One year,0,Mailed check,49.55,475.7,0,0-1 Year,47.57,1,0,0,0,1,0.0,0,0.020181634712411706
